file,label,words,chunkCount,judgedChunkCount,probability,verdict,confidence,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
stackexchange-diy-71591.txt,human,190,1,1,0.043,likely_human,high,0.35,0.75,0.3,0.11,0.12,0.08,0.05,0.2
stackexchange-english-329192.txt,human,384,2,2,0.186,likely_human,medium,0.64,0.278,0.213,0.131,0.081,0.131,0.074,0.054
stackexchange-english-342281.txt,human,360,2,2,0.145,likely_human,medium,0.61,0.392,0.197,0.108,0.086,0.132,0.038,0.089
stackexchange-english-395385.txt,human,382,2,2,0.296,likely_human,low,0.53,0.831,0.52,0.152,0.145,0.147,0.149,0.403
stackexchange-parenting-19025.txt,human,329,2,2,0.175,likely_human,medium,0.463,0.779,0.335,0.218,0.1,0.12,0.082,0.191
stackexchange-parenting-32424.txt,human,320,1,1,0.171,likely_human,medium,0.59,0.53,0.32,0.09,0.08,0.1,0.06,0.18
stackexchange-travel-149371.txt,human,365,2,2,0.243,likely_human,medium,0.594,0.855,0.27,0.214,0.138,0.102,0.09,0.232
stackexchange-travel-20208.txt,human,320,2,2,0.669,unclear,low,0.724,0.921,0.388,0.122,0.225,0.114,0.193,0.09
stackexchange-travel-38180.txt,human,229,1,1,0.102,likely_human,high,0.57,0.35,0.22,0.13,0.06,0.09,0.05,0.09
stackexchange-workplace-124717.txt,human,198,1,1,0.57,unclear,low,0.54,1.42,0.72,0.16,0.56,0.1,0.13,0.49
stackexchange-workplace-145712.txt,human,347,2,2,0.271,likely_human,medium,0.476,0.829,0.528,0.14,0.086,0.094,0.052,0.084
stackexchange-workplace-93717.txt,human,365,2,2,0.237,likely_human,medium,0.433,0.832,0.586,0.173,0.118,0.079,0.123,0.214
wikipedia-bologna.txt,human,278,1,1,0.199,likely_human,medium,0.7,0.46,0.05,0.08,0.18,0.07,0.02,0.08
wikipedia-cricket.txt,human,260,1,1,0.292,likely_human,medium,0.81,0.23,0.05,0.1,0.04,0.08,0.02,0.03
wikipedia-fall-of-the-berlin-wall.txt,human,399,2,2,0.372,unclear,low,0.678,0.817,0.075,0.085,0.247,0.09,0.02,0.126
wikipedia-ganges.txt,human,369,2,2,0.478,unclear,low,0.707,0.9,0.14,0.107,0.241,0.073,0.023,0.057
wikipedia-glastonbury-festival.txt,human,363,2,2,0.132,likely_human,high,0.66,0.354,0.066,0.116,0.128,0.08,0.02,0.094
wikipedia-golden-gate-bridge.txt,human,311,2,2,0.33,unclear,low,0.734,0.541,0.07,0.161,0.171,0.08,0.023,0.076
wikipedia-kyoto.txt,human,356,2,2,0.297,likely_human,medium,0.78,0.269,0.05,0.086,0.121,0.07,0.02,0.03
wikipedia-marie-curie.txt,human,368,2,2,0.275,likely_human,low,0.715,0.514,0.048,0.108,0.073,0.065,0.02,0.037
wikipedia-mount-kilimanjaro.txt,human,266,1,1,0.348,unclear,low,0.77,0.61,0.05,0.14,0.08,0.07,0.03,0.12
wikipedia-nikola-tesla.txt,human,328,2,2,0.245,likely_human,medium,0.718,0.457,0.054,0.099,0.104,0.084,0.02,0.043
wikipedia-office-for-national-statistics.txt,human,336,2,2,0.105,likely_human,high,0.676,0.129,0.044,0.084,0.092,0.07,0.02,0.036
wikipedia-poutine.txt,human,330,2,2,0.379,unclear,low,0.703,0.651,0.088,0.116,0.167,0.084,0.024,0.113
wikipedia-radiohead.txt,human,340,2,2,0.487,unclear,low,0.807,0.623,0.057,0.115,0.141,0.083,0.02,0.031
wikipedia-siemens.txt,human,377,2,2,0.198,likely_human,medium,0.765,0.203,0.047,0.085,0.114,0.08,0.02,0.069
wikipedia-tuberculosis.txt,human,372,2,2,0.309,unclear,low,0.806,0.213,0.053,0.07,0.047,0.067,0.02,0.027
01-blog-intro.txt,ai,235,1,1,1,very_likely_ai,high,0.92,2.63,0.95,0.27,0.93,0.12,0.03,0.03
02-product-description.txt,ai,254,1,1,0.999,very_likely_ai,high,0.92,2.64,0.89,0.38,0.97,0.82,0.02,0.03
03-linkedin-post.txt,ai,261,1,1,0.998,very_likely_ai,high,0.89,2.67,0.62,0.23,0.95,0.21,0.02,0.2
04-encyclopedia-paragraph.txt,ai,257,1,1,0.991,very_likely_ai,high,0.92,2.36,0.13,0.16,0.91,0.06,0.02,0.02
05-how-to.txt,ai,260,1,1,0.997,very_likely_ai,high,0.89,1.98,0.83,0.15,0.82,0.37,0.03,0.03
06-travel-blurb.txt,ai,260,1,1,0.999,very_likely_ai,high,0.91,2.49,0.77,0.17,0.97,0.68,0.02,0.06
07-email-chat-residue.txt,ai,239,1,1,0.9,very_likely_ai,high,0.92,1.05,0.13,0.13,0.08,0.08,0.99,0.31
08-opinion-piece.txt,ai,277,1,1,0.999,very_likely_ai,high,0.9,2.44,0.75,0.19,0.91,0.07,0.02,0.02
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt,ai,319,1,1,0.775,likely_ai,medium,0.86,1.12,0.07,0.14,0.18,0.1,0.02,0.11
matched-gutenberg-essays-1.txt,ai,282,1,1,0.925,very_likely_ai,high,0.82,1.48,0.28,0.18,0.08,0.06,0.02,0.02
matched-gutenberg-essays-first-series-1.txt,ai,295,1,1,0.967,very_likely_ai,high,0.82,1.59,0.5,0.15,0.17,0.11,0.02,0.02
matched-gutenberg-essays-second-series-1.txt,ai,278,1,1,0.97,very_likely_ai,high,0.84,1.53,0.52,0.15,0.15,0.06,0.02,0.02
matched-gutenberg-walking-1.txt,ai,265,1,1,0.695,unclear,low,0.58,1.42,0.65,0.25,0.17,0.1,0.02,0.32
matched-stackexchange-academia-2221.txt,ai,272,1,1,0.877,likely_ai,medium,0.82,1.16,0.34,0.13,0.11,0.07,0.06,0.04
matched-stackexchange-academia-77443.txt,ai,199,1,1,0.245,likely_human,medium,0.55,0.67,0.36,0.11,0.05,0.1,0.04,0.04
matched-stackexchange-academia-92903.txt,ai,289,1,1,0.442,unclear,low,0.74,0.89,0.16,0.1,0.11,0.06,0.03,0.23
matched-stackexchange-cooking-22409.txt,ai,283,1,1,0.579,unclear,low,0.82,0.9,0.18,0.16,0.1,0.07,0.14,0.29
matched-stackexchange-cooking-81043.txt,ai,275,1,1,0.347,unclear,low,0.59,0.59,0.48,0.1,0.08,0.1,0.04,0.04
matched-stackexchange-cooking-84325.txt,ai,301,1,1,0.619,unclear,low,0.83,0.6,0.2,0.09,0.07,0.1,0.06,0.03
matched-stackexchange-diy-20876.txt,ai,261,1,1,0.568,unclear,low,0.87,0.53,0.07,0.12,0.07,0.53,0.03,0.03
matched-stackexchange-diy-21461.txt,ai,273,1,1,0.911,very_likely_ai,high,0.9,0.98,0.36,0.09,0.1,0.34,0.97,0.02
matched-stackexchange-diy-71591.txt,ai,261,1,1,0.638,unclear,low,0.78,0.81,0.22,0.07,0.08,0.08,0.06,0.04
matched-stackexchange-english-329192.txt,ai,289,1,1,0.719,unclear,low,0.73,0.62,0.62,0.14,0.12,0.09,0.05,0.04
matched-stackexchange-english-342281.txt,ai,275,1,1,0.649,unclear,low,0.84,0.55,0.28,0.07,0.08,0.08,0.03,0.06
matched-stackexchange-english-395385.txt,ai,264,1,1,0.713,unclear,low,0.85,0.8,0.2,0.12,0.15,0.09,0.09,0.09
matched-stackexchange-parenting-19025.txt,ai,290,1,1,0.966,very_likely_ai,high,0.82,1.74,0.38,0.19,0.13,0.17,0.07,0.03
matched-stackexchange-parenting-32424.txt,ai,289,1,1,0.88,likely_ai,medium,0.86,1.12,0.41,0.13,0.11,0.09,0.14,0.2
matched-stackexchange-travel-149371.txt,ai,291,1,1,0.92,very_likely_ai,high,0.85,1.12,0.46,0.11,0.21,0.15,0.87,0.05
matched-stackexchange-travel-20208.txt,ai,281,1,1,0.966,very_likely_ai,high,0.88,1.35,0.51,0.1,0.12,0.07,0.04,0.03
matched-stackexchange-travel-38180.txt,ai,295,1,1,0.692,unclear,low,0.87,0.55,0.24,0.09,0.05,0.09,0.06,0.03
matched-stackexchange-workplace-124717.txt,ai,260,1,1,0.95,very_likely_ai,high,0.88,1.21,0.5,0.14,0.16,0.1,0.13,0.07
matched-stackexchange-workplace-145712.txt,ai,268,1,1,0.894,likely_ai,medium,0.86,1.09,0.34,0.17,0.09,0.12,0.06,0.04
matched-stackexchange-workplace-93717.txt,ai,289,1,1,0.72,unclear,low,0.53,1.14,0.82,0.13,0.07,0.06,0.07,0.08
matched-wikipedia-bologna.txt,ai,272,1,1,0.787,likely_ai,medium,0.9,0.88,0.09,0.07,0.2,0.06,0.02,0.03
matched-wikipedia-cricket.txt,ai,290,1,1,0.653,unclear,low,0.9,0.59,0.06,0.1,0.19,0.08,0.02,0.02
matched-wikipedia-fall-of-the-berlin-wall.txt,ai,296,1,1,0.935,very_likely_ai,high,0.87,1.59,0.14,0.09,0.43,0.13,0.02,0.05
matched-wikipedia-ganges.txt,ai,300,1,1,0.966,very_likely_ai,high,0.89,1.48,0.38,0.07,0.28,0.08,0.02,0.03
matched-wikipedia-glastonbury-festival.txt,ai,279,1,1,0.941,very_likely_ai,high,0.87,1.5,0.26,0.11,0.36,0.18,0.02,0.07
matched-wikipedia-golden-gate-bridge.txt,ai,282,1,1,0.827,likely_ai,medium,0.88,1.13,0.06,0.08,0.2,0.07,0.02,0.04
matched-wikipedia-kyoto.txt,ai,271,1,1,0.798,likely_ai,medium,0.9,0.94,0.07,0.08,0.22,0.07,0.02,0.03
matched-wikipedia-marie-curie.txt,ai,298,1,1,0.973,very_likely_ai,high,0.87,1.72,0.36,0.07,0.26,0.09,0.02,0.04
matched-wikipedia-mount-kilimanjaro.txt,ai,266,1,1,0.942,very_likely_ai,high,0.9,1.47,0.17,0.11,0.32,0.18,0.02,0.03
matched-wikipedia-nikola-tesla.txt,ai,295,1,1,0.846,likely_ai,medium,0.89,1.11,0.08,0.07,0.15,0.07,0.02,0.02
matched-wikipedia-office-for-national-statistics.txt,ai,281,1,1,0.712,unclear,low,0.89,0.77,0.06,0.08,0.13,0.06,0.02,0.03
matched-wikipedia-poutine.txt,ai,295,1,1,0.328,unclear,low,0.54,1.14,0.24,0.09,0.15,0.09,0.03,0.1
matched-wikipedia-radiohead.txt,ai,295,1,1,0.694,unclear,low,0.65,1.33,0.28,0.09,0.19,0.09,0.03,0.04
matched-wikipedia-siemens.txt,ai,297,1,1,0.804,likely_ai,medium,0.9,0.96,0.06,0.07,0.33,0.12,0.02,0.02
matched-wikipedia-tuberculosis.txt,ai,289,1,1,0.684,unclear,low,0.88,0.69,0.09,0.08,0.07,0.1,0.02,0.02
