file,label,chunkId,words,probability,ai_written,tells,staging,rhythm,inflation,formatting,chat_residue,specifics
wikipedia-kyoto.txt,human,c1,125,0.1,0.68,0.08,0.06,0.08,0.05,0.08,0.02,0.03
wikipedia-marie-curie.txt,human,c0,280,0.352,0.73,0.66,0.05,0.12,0.09,0.07,0.02,0.03
wikipedia-marie-curie.txt,human,c1,88,0.117,0.71,0.1,0.05,0.07,0.05,0.08,0.02,0.06
wikipedia-mount-kilimanjaro.txt,human,c0,266,0.357,0.78,0.58,0.05,0.13,0.08,0.07,0.03,0.11
wikipedia-nikola-tesla.txt,human,c0,188,0.237,0.71,0.47,0.05,0.09,0.1,0.08,0.02,0.03
wikipedia-nikola-tesla.txt,human,c1,140,0.307,0.77,0.45,0.05,0.1,0.11,0.08,0.02,0.06
wikipedia-office-for-national-statistics.txt,human,c0,203,0.096,0.69,0.06,0.04,0.09,0.07,0.07,0.02,0.04
wikipedia-office-for-national-statistics.txt,human,c1,133,0.148,0.7,0.23,0.05,0.09,0.11,0.07,0.02,0.03
wikipedia-poutine.txt,human,c0,200,0.615,0.8,0.88,0.09,0.12,0.23,0.08,0.02,0.05
wikipedia-poutine.txt,human,c1,130,0.042,0.55,0.3,0.08,0.12,0.07,0.09,0.02,0.2
wikipedia-radiohead.txt,human,c0,295,0.531,0.81,0.71,0.05,0.11,0.14,0.08,0.02,0.03
wikipedia-radiohead.txt,human,c1,45,0.261,0.8,0.22,0.04,0.07,0.09,0.1,0.02,0.04
wikipedia-siemens.txt,human,c0,276,0.187,0.75,0.25,0.05,0.1,0.12,0.08,0.02,0.09
wikipedia-siemens.txt,human,c1,101,0.197,0.77,0.16,0.04,0.07,0.08,0.08,0.02,0.04
wikipedia-tuberculosis.txt,human,c0,247,0.405,0.86,0.27,0.05,0.08,0.04,0.07,0.02,0.02
wikipedia-tuberculosis.txt,human,c1,125,0.122,0.73,0.04,0.04,0.06,0.06,0.07,0.02,0.04
01-blog-intro.txt,ai,c0,235,0.999,0.92,2.6,0.95,0.28,0.93,0.13,0.03,0.03
02-product-description.txt,ai,c0,254,0.999,0.92,2.64,0.89,0.42,0.96,0.83,0.02,0.03
03-linkedin-post.txt,ai,c0,261,0.998,0.89,2.68,0.63,0.21,0.94,0.2,0.02,0.2
04-encyclopedia-paragraph.txt,ai,c0,257,0.991,0.92,2.34,0.12,0.15,0.91,0.05,0.02,0.02
05-how-to.txt,ai,c0,260,0.997,0.9,2,0.81,0.14,0.79,0.34,0.02,0.03
06-travel-blurb.txt,ai,c0,260,0.999,0.91,2.51,0.78,0.16,0.97,0.68,0.02,0.06
07-email-chat-residue.txt,ai,c0,239,0.9,0.92,1.08,0.14,0.12,0.08,0.07,0.99,0.32
08-opinion-piece.txt,ai,c0,277,0.999,0.91,2.43,0.75,0.19,0.91,0.07,0.02,0.02
matched-govweb-grca-learn-nature-200710mtlionkit-htm.txt,ai,c0,319,0.792,0.87,1.13,0.07,0.13,0.18,0.1,0.02,0.11
matched-gutenberg-essays-1.txt,ai,c0,282,0.929,0.81,1.53,0.29,0.2,0.07,0.06,0.02,0.02
matched-gutenberg-essays-first-series-1.txt,ai,c0,295,0.969,0.82,1.61,0.5,0.15,0.17,0.12,0.02,0.02
matched-gutenberg-essays-second-series-1.txt,ai,c0,278,0.967,0.83,1.52,0.52,0.15,0.14,0.06,0.02,0.02
matched-gutenberg-walking-1.txt,ai,c0,265,0.699,0.58,1.4,0.68,0.26,0.17,0.08,0.02,0.33
matched-stackexchange-academia-2221.txt,ai,c0,272,0.875,0.82,1.12,0.36,0.15,0.12,0.07,0.07,0.04
matched-stackexchange-academia-77443.txt,ai,c0,199,0.196,0.54,0.6,0.34,0.11,0.04,0.09,0.03,0.04
matched-stackexchange-academia-92903.txt,ai,c0,289,0.387,0.73,0.82,0.16,0.11,0.1,0.06,0.03,0.23
matched-stackexchange-cooking-22409.txt,ai,c0,283,0.585,0.83,0.85,0.18,0.15,0.1,0.07,0.14,0.27
matched-stackexchange-cooking-81043.txt,ai,c0,275,0.357,0.58,0.62,0.5,0.1,0.08,0.11,0.04,0.04
matched-stackexchange-cooking-84325.txt,ai,c0,301,0.634,0.83,0.63,0.2,0.09,0.07,0.11,0.05,0.03
matched-stackexchange-diy-20876.txt,ai,c0,261,0.578,0.87,0.55,0.07,0.12,0.08,0.52,0.03,0.03
matched-stackexchange-diy-21461.txt,ai,c0,273,0.906,0.9,0.95,0.36,0.09,0.1,0.36,0.97,0.02
matched-stackexchange-diy-71591.txt,ai,c0,261,0.609,0.78,0.75,0.22,0.08,0.08,0.08,0.06,0.04
matched-stackexchange-english-329192.txt,ai,c0,289,0.736,0.74,0.65,0.6,0.14,0.12,0.1,0.05,0.04
matched-stackexchange-english-342281.txt,ai,c0,275,0.619,0.84,0.53,0.25,0.08,0.09,0.09,0.03,0.06
matched-stackexchange-english-395385.txt,ai,c0,264,0.698,0.84,0.79,0.2,0.12,0.15,0.1,0.1,0.08
matched-stackexchange-parenting-19025.txt,ai,c0,290,0.968,0.82,1.77,0.39,0.2,0.12,0.17,0.07,0.03
matched-stackexchange-parenting-32424.txt,ai,c0,289,0.877,0.85,1.13,0.4,0.13,0.1,0.09,0.14,0.18
matched-stackexchange-travel-149371.txt,ai,c0,291,0.923,0.85,1.14,0.46,0.1,0.22,0.16,0.87,0.05
matched-stackexchange-travel-20208.txt,ai,c0,281,0.968,0.88,1.32,0.55,0.11,0.12,0.08,0.04,0.03
matched-stackexchange-travel-38180.txt,ai,c0,295,0.705,0.88,0.53,0.24,0.09,0.05,0.08,0.06,0.02
matched-stackexchange-workplace-124717.txt,ai,c0,260,0.957,0.88,1.25,0.53,0.14,0.14,0.1,0.14,0.07
matched-stackexchange-workplace-145712.txt,ai,c0,268,0.903,0.87,1.07,0.36,0.17,0.09,0.11,0.06,0.04
matched-stackexchange-workplace-93717.txt,ai,c0,289,0.727,0.54,1.12,0.81,0.12,0.07,0.07,0.07,0.07
matched-wikipedia-bologna.txt,ai,c0,272,0.786,0.89,0.93,0.08,0.08,0.2,0.07,0.02,0.03
matched-wikipedia-cricket.txt,ai,c0,290,0.67,0.91,0.59,0.06,0.1,0.2,0.08,0.02,0.02
matched-wikipedia-fall-of-the-berlin-wall.txt,ai,c0,296,0.938,0.88,1.57,0.15,0.09,0.44,0.16,0.02,0.05
matched-wikipedia-ganges.txt,ai,c0,300,0.969,0.9,1.47,0.4,0.07,0.27,0.06,0.02,0.03
matched-wikipedia-glastonbury-festival.txt,ai,c0,279,0.946,0.87,1.53,0.27,0.11,0.36,0.17,0.02,0.07
matched-wikipedia-golden-gate-bridge.txt,ai,c0,282,0.84,0.89,1.14,0.06,0.08,0.2,0.06,0.02,0.04
matched-wikipedia-kyoto.txt,ai,c0,271,0.784,0.9,0.9,0.07,0.08,0.22,0.07,0.02,0.03
matched-wikipedia-marie-curie.txt,ai,c0,298,0.975,0.87,1.73,0.38,0.07,0.26,0.08,0.02,0.04
matched-wikipedia-mount-kilimanjaro.txt,ai,c0,266,0.927,0.89,1.42,0.16,0.11,0.32,0.18,0.02,0.04
matched-wikipedia-nikola-tesla.txt,ai,c0,295,0.836,0.89,1.06,0.09,0.07,0.16,0.08,0.02,0.02
matched-wikipedia-office-for-national-statistics.txt,ai,c0,281,0.687,0.88,0.75,0.06,0.08,0.12,0.06,0.02,0.03
matched-wikipedia-poutine.txt,ai,c0,295,0.339,0.54,1.12,0.27,0.08,0.14,0.09,0.03,0.1
matched-wikipedia-radiohead.txt,ai,c0,295,0.678,0.65,1.31,0.27,0.08,0.2,0.09,0.03,0.04
matched-wikipedia-siemens.txt,ai,c0,297,0.795,0.89,0.97,0.06,0.07,0.35,0.12,0.02,0.02
matched-wikipedia-tuberculosis.txt,ai,c0,289,0.637,0.88,0.59,0.09,0.08,0.07,0.11,0.02,0.02
